Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
-----------------------------------------------
                0.00    0.00     930/930         std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> > >::_State_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [177]
[164]    0.0    0.00    0.00     930         std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_Invoker<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [164]
                0.00    0.00     901/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     877/8523        void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [115]
                0.00    0.00     875/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00     808/808         std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::tuple<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, true, true>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [172]
                0.00    0.00     802/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
-----------------------------------------------
                0.00    0.00     922/922         std::_Tuple_impl<3ul, int>::_Tuple_impl<int>(int&&) [163]
[165]    0.0    0.00    0.00     922         std::_Head_base<3ul, int, false>::_Head_base<int>(int&&) [165]
                0.00    0.00     925/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
-----------------------------------------------
                0.00    0.00     880/880         std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> > >::_State_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [178]
[166]    0.0    0.00    0.00     880         std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_Invoker<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [166]
                0.00    0.00     883/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     873/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     845/845         std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::tuple<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, true, true>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [169]
                0.00    0.00     835/8523        void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [115]
                0.00    0.00     728/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
-----------------------------------------------
                0.00    0.00     865/865         std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [174]
[167]    0.0    0.00    0.00     865         std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [167]
                0.00    0.00    1014/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00     943/943         std::_Tuple_impl<2ul, int, int>::_Tuple_impl<int&, int, void>(int&, int&&) [162]
                0.00    0.00     866/1697        std::_Head_base<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, false>::_Head_base<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&) [135]
                0.00    0.00     837/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     836/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
-----------------------------------------------
                0.00    0.00     853/853         std::_Tuple_impl<2ul, int, int>::_Tuple_impl<int, int&, void>(int&&, int&) [176]
[168]    0.0    0.00    0.00     853         std::_Head_base<2ul, int, false>::_Head_base<int>(int&&) [168]
                0.00    0.00     842/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
-----------------------------------------------
                0.00    0.00     845/845         std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_Invoker<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [166]
[169]    0.0    0.00    0.00     845         std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::tuple<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, true, true>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [169]
                0.00    0.00     908/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00     872/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     863/8523        void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [115]
                0.00    0.00     831/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     795/795         std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [174]
-----------------------------------------------
                0.00    0.00     826/826         std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [175]
[170]    0.0    0.00    0.00     826         std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [170]
                0.00    0.00     882/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00     831/1697        std::_Head_base<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, false>::_Head_base<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&) [135]
                0.00    0.00     801/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     796/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     791/791         std::_Tuple_impl<2ul, int, int>::_Tuple_impl<int, int&, void>(int&&, int&) [176]
-----------------------------------------------
                0.00    0.00     816/816         std::_Tuple_impl<2ul, int, int>::_Tuple_impl<int, int&, void>(int&&, int&) [176]
[171]    0.0    0.00    0.00     816         std::_Tuple_impl<3ul, int>::_Tuple_impl<int&>(int&) [171]
                0.00    0.00     800/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     799/799         std::_Head_base<3ul, int, false>::_Head_base<int&>(int&) [173]
-----------------------------------------------
                0.00    0.00     808/808         std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_Invoker<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [164]
[172]    0.0    0.00    0.00     808         std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::tuple<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, true, true>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [172]
                0.00    0.00     913/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     892/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     832/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00     800/8523        void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [115]
                0.00    0.00     791/791         std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [175]
-----------------------------------------------
                0.00    0.00     799/799         std::_Tuple_impl<3ul, int>::_Tuple_impl<int&>(int&) [171]
[173]    0.0    0.00    0.00     799         std::_Head_base<3ul, int, false>::_Head_base<int&>(int&) [173]
                0.00    0.00     876/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
-----------------------------------------------
                0.00    0.00     795/795         std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::tuple<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, true, true>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [169]
[174]    0.0    0.00    0.00     795         std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [174]
                0.00    0.00     964/8523        void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [115]
                0.00    0.00     905/1665        std::_Head_base<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), false>::_Head_base(void (* const&)(std::vector<int, std::allocator<int> >&, int, int)) [140]
                0.00    0.00     867/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     865/865         std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [167]
                0.00    0.00     854/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     810/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
-----------------------------------------------
                0.00    0.00     791/791         std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::tuple<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, true, true>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [172]
[175]    0.0    0.00    0.00     791         std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [175]
                0.00    0.00     826/826         std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [170]
                0.00    0.00     803/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     794/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     760/1665        std::_Head_base<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), false>::_Head_base(void (* const&)(std::vector<int, std::allocator<int> >&, int, int)) [140]
                0.00    0.00     754/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00     746/8523        void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [115]
-----------------------------------------------
                0.00    0.00     791/791         std::_Tuple_impl<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_Tuple_impl<std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [170]
[176]    0.0    0.00    0.00     791         std::_Tuple_impl<2ul, int, int>::_Tuple_impl<int, int&, void>(int&&, int&) [176]
                0.00    0.00     873/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     853/853         std::_Head_base<2ul, int, false>::_Head_base<int>(int&&) [168]
                0.00    0.00     816/816         std::_Tuple_impl<3ul, int>::_Tuple_impl<int&>(int&) [171]
                0.00    0.00     751/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
-----------------------------------------------
                0.00    0.00     524/524         std::thread::thread<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [79]
[177]    0.0    0.00    0.00     524         std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> > >::_State_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [177]
                0.00    0.00     930/930         std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_Invoker<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int&>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&) [164]
                0.00    0.00     877/8523        void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [115]
                0.00    0.00     821/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00     747/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     720/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     608/1261        std::thread::_State::_State() [159]
-----------------------------------------------
                0.00    0.00     521/521         std::thread::thread<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int, void>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [78]
[178]    0.0    0.00    0.00     521         std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> > >::_State_impl<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [178]
                0.00    0.00     880/880         std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_Invoker<void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int&, int>(void (&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&, int&&) [166]
                0.00    0.00     804/8523        void (&std::forward<void (&)(std::vector<int, std::allocator<int> >&, int, int)>(std::remove_reference<void (&)(std::vector<int, std::allocator<int> >&, int, int)>::type&))(std::vector<int, std::allocator<int> >&, int, int) [115]
                0.00    0.00     770/16482       std::reference_wrapper<std::vector<int, std::allocator<int> > >&& std::forward<std::reference_wrapper<std::vector<int, std::allocator<int> > > >(std::remove_reference<std::reference_wrapper<std::vector<int, std::allocator<int> > > >::type&) [113]
                0.00    0.00     701/23891       int&& std::forward<int>(std::remove_reference<int>::type&) [112]
                0.00    0.00     691/14396       int& std::forward<int&>(std::remove_reference<int&>::type&) [114]
                0.00    0.00     593/1261        std::thread::_State::_State() [159]
-----------------------------------------------
                0.00    0.00       5/443         int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [331]
                0.00    0.00     438/443         int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) [197]
[179]    0.0    0.00    0.00     443         int* std::__niter_base<int*>(int*) [179]
-----------------------------------------------
                0.00    0.00       5/352         main [41]
                0.00    0.00      55/352         std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&) [259]
                0.00    0.00     292/352         std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const [219]
[180]    0.0    0.00    0.00     352         std::vector<int, std::allocator<int> >::size() const [180]
-----------------------------------------------
                0.00    0.00      20/335         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [300]
                0.00    0.00      35/335         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [232]
                0.00    0.00      75/335         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&) [218]
                0.00    0.00     205/335         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*) [185]
[181]    0.0    0.00    0.00     335         std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&) [181]
-----------------------------------------------
                0.00    0.00      30/300         std::thread::thread<void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >, void>(void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >&&) [81]
                0.00    0.00      30/300         std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > > > >::_State_impl<void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > >(void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >&&) [255]
                0.00    0.00      30/300         std::thread::_Invoker<std::tuple<void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > > >::_Invoker<void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > >(void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >&&) [257]
                0.00    0.00      30/300         std::tuple<void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > >::tuple<void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >, true>(void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >&&) [253]
                0.00    0.00      30/300         std::_Tuple_impl<0ul, void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > >::_Tuple_impl<void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >, void>(void (&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >&&) [245]
                0.00    0.00      30/300         std::_Tuple_impl<1ul, std::reference_wrapper<std::atomic<bool> > >::_Tuple_impl<std::reference_wrapper<std::atomic<bool> > >(std::reference_wrapper<std::atomic<bool> >&&) [248]
                0.00    0.00      30/300         std::_Head_base<1ul, std::reference_wrapper<std::atomic<bool> >, false>::_Head_base<std::reference_wrapper<std::atomic<bool> > >(std::reference_wrapper<std::atomic<bool> >&&) [243]
                0.00    0.00      30/300         std::tuple_element<1ul, std::tuple<void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > > >::type&& std::get<1ul, void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > >(std::tuple<void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > >&&) [270]
                0.00    0.00      30/300         std::__invoke_result<void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > >::type std::__invoke<void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > >(void (*&&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >&&) [26]
                0.00    0.00      30/300         void std::__invoke_impl<void, void (*)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> > >(std::__invoke_other, void (*&&)(std::atomic<bool>&), std::reference_wrapper<std::atomic<bool> >&&) [25]
[182]    0.0    0.00    0.00     300         std::reference_wrapper<std::atomic<bool> >&& std::forward<std::reference_wrapper<std::atomic<bool> > >(std::remove_reference<std::reference_wrapper<std::atomic<bool> > >::type&) [182]
-----------------------------------------------
                0.00    0.00      16/239         void std::__invoke_impl<void, main::{lambda()#1}>(std::__invoke_other, main::{lambda()#1}&&) [14]
                0.00    0.00      20/239         std::__invoke_result<main::{lambda()#1}>::type std::__invoke<main::{lambda()#1}>(main::{lambda()#1}&&) [13]
                0.00    0.00      23/239         std::tuple_element<0ul, std::tuple<main::{lambda()#1}> >::type&& std::get<0ul, main::{lambda()#1}>(std::tuple<main::{lambda()#1}>&&) [292]
                0.00    0.00      30/239         std::thread::thread<main::{lambda()#1}, , void>(main::{lambda()#1}&&) [82]
                0.00    0.00      30/239         std::thread::_State_impl<std::thread::_Invoker<std::tuple<main::{lambda()#1}> > >::_State_impl<main::{lambda()#1}>(main::{lambda()#1}&&) [256]
                0.00    0.00      30/239         std::thread::_Invoker<std::tuple<main::{lambda()#1}> >::_Invoker<main::{lambda()#1}>(main::{lambda()#1}&&) [258]
