Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.36     0.00     1503     0.00     0.00  std::_Head_base<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, false>::_M_head(std::_Head_base<1ul, std::reference_wrapper<std::vector<int, std::allocator<int> > >, false>&)
  0.00      5.36     0.00     1493     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<std::thread::id> >, std::is_move_constructible<std::thread::id>, std::is_move_assignable<std::thread::id> >::value, void>::type std::swap<std::thread::id>(std::thread::id&, std::thread::id&)
  0.00      5.36     0.00     1476     0.00     0.00  std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::_M_head(std::_Tuple_impl<0ul, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>&)
  0.00      5.36     0.00     1458     0.00     2.62  void std::__invoke_impl<void, void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(std::__invoke_other, void (*&&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&&)
  0.00      5.36     0.00     1427     0.00     2.68  std::__invoke_result<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>::type std::__invoke<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int>(void (*&&)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >&&, int&&, int&&)
  0.00      5.36     0.00     1424     0.00     0.00  std::reference_wrapper<std::vector<int, std::allocator<int> > >::reference_wrapper<std::vector<int, std::allocator<int> >&, void, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >&)
  0.00      5.36     0.00     1353     0.00     2.82  void std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::_M_invoke<0ul, 1ul, 2ul, 3ul>(std::_Index_tuple<0ul, 1ul, 2ul, 3ul>)
  0.00      5.36     0.00     1294     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> > >::~_State_impl()
  0.00      5.36     0.00     1279     0.00     0.00  std::reference_wrapper<std::vector<int, std::allocator<int> > > std::ref<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      5.36     0.00     1261     0.00     0.00  std::thread::_State::_State()
  0.00      5.36     0.00     1082     0.00     3.53  std::thread::_Invoker<std::tuple<void (*)(std::vector<int, std::allocator<int> >&, int, int), std::reference_wrapper<std::vector<int, std::allocator<int> > >, int, int> >::operator()()
  0.00      5.36     0.00      996     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()
